"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10006_2007_1","2_1046_20250316","1046_1101714_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1046_20250316","1046_1102244_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1047_20250316","1047_2102524_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1047_20250316","1047_2113615_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1047_20250316","1047_2103114_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2008_1","2_1046_20250316","1046_1101712_20250316","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1046_20250316","1046_1102245_20250316","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1047_20250316","1047_2110722_20250316","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1047_20250316","1047_2102525_20250316","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1046_20250316","1046_1103723_20250316","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1046_20250316","1046_1110233_20250316","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1046_20250316","1046_1101612_20250316","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1046_20250316","1046_1112243_20250316","岡山駅",,,,"2_2008_1",,,"2"
"10006_2009_1","2_1047_20250316","1047_2110611_20250316","岡電高屋",,,,"2_2009_1",,,"2"
"10006_2009_1","2_1047_20250316","1047_2110721_20250316","岡電高屋",,,,"2_2009_1",,,"2"
"10006_2010_1","2_1046_20250316","1046_1100534_20250316","岡南営業所",,,,"2_2010_1",,,"2"
"10006_2010_1","2_1046_20250316","1046_1113434_20250316","岡南営業所",,,,"2_2010_1",,,"2"
"10006_2010_1","2_1047_20250316","1047_2111436_20250316","岡南営業所",,,,"2_2010_1",,,"2"
"10006_2010_1","2_1046_20250316","1046_1111643_20250316","岡南営業所",,,,"2_2010_1",,,"2"
"10100_1011_1","2_1047_20250316","1047_2103517_20250316","岡山駅",,,,"2_1011_1",,,"2"
"10100_1011_1","2_1047_20250316","1047_2104114_20250316","岡山駅",,,,"2_1011_1",,,"2"
"10100_1011_1","2_1047_20250316","1047_2101814_20250316","岡山駅",,,,"2_1011_1",,,"2"
"10100_1011_1","2_1046_20250316","1046_1103914_20250316","岡山駅",,,,"2_1011_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2110933_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1100236_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2102514_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2110433_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2102616_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1103314_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","4_1054_20250316","1054_1400722_20250316","岡山駅",,,,"2_1012_1",,,"4"
"10100_1012_1","4_1055_20250316","1055_2412524_20250316","岡山駅",,,,"2_1012_1",,,"4"
"10100_1012_1","2_1046_20250316","1046_1102823_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2111134_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2100614_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1101635_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1110217_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1110835_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2102916_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1110435_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1103124_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1112116_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2110524_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1113233_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2100216_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1102926_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2111915_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1112614_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1046_20250316","1046_1110113_20250316","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1047_20250316","1047_2100123_20250316","岡山駅",,,,"2_1012_1",,,"2"
